recall per class ['0/0', '0/2', '1/7', '9/19', '0/2', '0/0', '71/98']
recall per class ['0/0', '0/0', '0/4', '7/15', '0/2', '0/0', '81/107']
recall per class ['0/0', '0/1', '0/7', '8/22', '0/0', '0/0', '71/98']
recall per class ['0/0', '0/2', '0/9', '10/20', '0/0', '0/0', '69/97']
recall per class ['0/0', '0/3', '1/4', '6/16', '0/3', '0/0', '75/102']
recall per class ['0/0', '0/2', '0/2', '8/18', '0/1', '0/0', '77/105']
recall per class ['0/0', '0/2', '0/6', '8/22', '0/1', '0/0', '72/97']
recall per class ['0/0', '0/2', '3/12', '8/17', '0/0', '0/0', '67/97']
recall per class ['0/0', '0/3', '2/5', '9/23', '0/1', '0/0', '70/96']
recall per class ['0/0', '0/5', '1/8', '5/21', '0/1', '0/0', '77/93']
recall per class ['0/0', '0/6', '1/10', '8/17', '0/2', '0/0', '66/93']
recall per class ['0/0', '0/1', '0/2', '7/22', '0/2', '0/0', '68/101']
recall per class ['0/0', '0/2', '2/6', '5/15', '0/2', '0/0', '73/103']
recall per class ['0/0', '0/1', '2/6', '8/27', '0/2', '0/0', '71/92']
recall per class ['0/0', '0/2', '3/6', '7/12', '0/3', '0/0', '63/105']
recall per class ['0/0', '0/2', '0/5', '9/17', '0/1', '0/0', '79/103']
recall per class ['0/0', '0/3', '3/7', '7/14', '0/0', '0/0', '61/104']
recall per class ['0/0', '0/1', '0/7', '6/17', '0/1', '0/0', '88/102']
recall per class ['0/0', '0/1', '0/10', '9/19', '0/1', '0/0', '70/97']
recall per class ['0/0', '0/2', '1/10', '11/22', '0/1', '0/0', '70/93']
recall per class ['0/0', '0/4', '0/3', '7/19', '0/0', '0/0', '80/102']
recall per class ['0/0', '0/4', '4/9', '8/19', '0/4', '0/0', '64/92']
recall per class ['0/0', '0/3', '3/10', '4/16', '0/2', '0/0', '74/97']
recall per class ['0/0', '0/2', '1/8', '3/13', '0/2', '0/0', '71/103']
recall per class ['0/0', '0/3', '2/9', '7/12', '0/3', '0/0', '78/101']
recall per class ['0/0', '0/2', '2/8', '8/22', '0/1', '0/0', '69/95']
recall per class ['0/0', '0/1', '3/7', '10/22', '0/2', '0/0', '75/96']
recall per class ['0/0', '0/0', '2/6', '9/22', '0/0', '0/0', '75/100']
recall per class ['0/0', '0/3', '0/9', '4/18', '0/2', '0/0', '76/96']
recall per class ['0/0', '0/2', '2/10', '4/14', '0/0', '0/0', '79/102']
recall per class ['0/0', '0/1', '0/7', '12/23', '0/1', '0/0', '75/96']
recall per class ['0/0', '0/3', '1/5', '12/22', '0/1', '0/0', '66/97']
