['0/0', '0/2', '7/9', '6/12', '0/1', '0/0', '91/104']
['0/0', '0/1', '6/8', '9/13', '1/1', '0/0', '87/105']
['0/0', '1/5', '5/6', '15/18', '0/0', '0/0', '76/99']
['0/0', '2/3', '4/4', '17/26', '0/1', '0/0', '83/94']
['0/0', '0/0', '8/9', '10/17', '0/2', '0/0', '88/100']
['0/0', '2/3', '6/6', '6/14', '0/1', '0/0', '87/104']
['0/0', '0/2', '6/7', '15/25', '0/1', '0/0', '75/93']
['0/0', '0/4', '2/2', '6/18', '0/0', '0/0', '75/104']
['0/0', '1/1', '9/11', '13/20', '0/0', '0/0', '72/96']
['0/0', '2/2', '5/6', '6/15', '0/1', '0/0', '94/104']
['0/0', '1/1', '5/5', '10/23', '0/1', '0/0', '79/98']
['0/0', '2/4', '4/5', '6/16', '0/0', '0/0', '86/103']
['0/0', '1/3', '5/6', '9/17', '1/1', '0/0', '86/101']
['0/1', '0/1', '12/12', '9/17', '0/0', '0/0', '88/97']
['0/0', '0/4', '5/5', '15/21', '0/0', '0/0', '78/98']
['0/0', '1/2', '2/3', '8/11', '1/4', '0/0', '94/108']
['0/0', '0/1', '3/4', '7/17', '0/1', '0/0', '89/105']
['0/0', '1/3', '5/5', '10/17', '0/0', '0/0', '79/103']
['0/0', '1/2', '9/9', '10/16', '0/0', '0/0', '88/101']
['0/0', '2/3', '5/5', '11/15', '0/1', '0/0', '83/104']
['0/0', '0/0', '5/5', '9/18', '0/0', '0/0', '94/105']
['0/0', '3/3', '7/7', '10/14', '0/1', '0/0', '84/103']
['0/0', '1/3', '7/7', '12/17', '0/1', '0/0', '79/100']
['0/0', '2/4', '7/7', '11/18', '0/1', '0/0', '79/98']
['0/0', '0/1', '8/8', '15/22', '0/0', '0/0', '76/97']
['0/0', '0/1', '10/10', '13/16', '0/0', '0/0', '85/101']
['0/0', '0/7', '6/7', '12/19', '0/1', '0/0', '69/94']
['0/0', '3/3', '2/3', '11/18', '1/1', '0/0', '85/103']
['0/0', '1/2', '12/12', '11/20', '0/1', '0/0', '77/93']
['0/0', '0/1', '2/2', '7/11', '0/0', '0/0', '95/114']
['0/0', '1/1', '7/7', '7/14', '2/2', '0/0', '82/104']
['0/0', '0/2', '11/11', '13/22', '0/0', '0/0', '78/93']
['0/0', '4/5', '5/6', '14/19', '1/1', '0/0', '83/97']
['0/0', '3/4', '7/8', '13/19', '0/1', '0/0', '75/96']
['0/0', '1/3', '10/10', '10/18', '0/2', '0/0', '80/95']
['0/0', '1/3', '6/6', '6/13', '0/1', '0/0', '90/105']
['0/0', '5/6', '6/6', '9/19', '0/1', '0/0', '79/96']
['0/0', '0/1', '3/3', '12/20', '0/1', '0/0', '73/103']
['0/0', '0/1', '6/6', '13/21', '0/1', '0/0', '79/99']
['0/0', '1/2', '2/2', '14/27', '0/2', '0/0', '74/95']
['0/0', '2/6', '7/7', '9/15', '0/0', '0/0', '75/100']
['0/0', '0/2', '4/4', '16/20', '0/1', '0/0', '80/101']
['0/0', '2/4', '7/7', '14/24', '0/1', '0/0', '74/92']
['0/0', '2/5', '8/9', '6/10', '0/0', '0/0', '84/104']
['0/0', '2/4', '11/12', '15/19', '0/0', '0/0', '84/93']
