['0/0', '0/2', '6/10', '10/25', '0/1', '0/0', '84/90']
['0/0', '1/1', '4/12', '8/26', '0/0', '0/0', '82/89']
['0/0', '0/0', '3/7', '8/16', '0/0', '0/0', '92/105']
['0/0', '0/1', '4/5', '7/32', '0/0', '0/0', '77/90']
['0/0', '0/4', '3/9', '9/22', '0/1', '0/0', '82/92']
['0/0', '0/4', '9/14', '9/21', '0/0', '0/0', '82/89']
['0/0', '1/1', '3/8', '12/25', '0/3', '0/0', '79/91']
['0/0', '3/4', '4/10', '7/18', '0/0', '0/0', '86/96']
['0/0', '1/3', '9/13', '10/26', '0/0', '0/0', '75/86']
['0/0', '1/1', '3/7', '5/21', '0/0', '0/0', '85/99']
['0/0', '0/2', '2/8', '14/29', '0/0', '0/0', '77/89']
['0/0', '0/2', '7/14', '13/38', '0/0', '0/0', '68/74']
['0/0', '2/4', '8/10', '6/20', '0/0', '0/0', '83/94']
['0/0', '1/1', '3/8', '8/27', '0/0', '0/0', '89/92']
['0/0', '0/1', '9/14', '1/19', '0/0', '0/0', '88/94']
['0/0', '0/0', '8/17', '9/31', '0/1', '0/0', '71/79']
['0/0', '0/3', '4/12', '9/20', '0/1', '0/0', '84/92']
['0/0', '1/4', '3/6', '5/23', '0/1', '0/0', '84/94']
['0/0', '0/3', '6/11', '7/18', '0/0', '0/0', '87/96']
['0/0', '0/0', '4/6', '9/29', '0/0', '0/0', '87/93']
['0/0', '1/4', '5/13', '7/14', '0/1', '0/0', '83/96']
['0/0', '0/6', '9/13', '6/10', '0/0', '0/0', '92/99']
['0/0', '0/3', '7/14', '9/19', '0/0', '0/0', '81/92']
['0/0', '1/1', '7/8', '12/35', '0/0', '0/0', '76/84']
['0/0', '0/1', '7/10', '8/23', '0/0', '0/0', '79/94']
['0/0', '0/0', '5/13', '7/19', '0/0', '0/0', '78/96']
['0/0', '2/3', '7/14', '5/15', '1/1', '0/0', '88/95']
['0/0', '1/1', '6/15', '7/33', '0/0', '0/0', '68/79']
['0/0', '2/2', '8/18', '6/27', '1/1', '0/0', '71/80']
